//RL6302_MAC_PHY_Parameter_v046_20141008
// Format:							
//							
// 		Note: The order of the tables MUST match the definition in WLAN driver.
//							
//		Power Limit Table Parameter Definition					
//		Band:			2.4G/5G		
//		Bandwidth:		20/40/80/160 MHZ			
//		RF Path:		1/2/3/4 Transmit RF			
//		Rate Section:	CCK/OFDM/HT/VHT				
//		Regulation: 	FCC/ETSI/MKK				
//							
//		Description:					
//		1. IF in 1T test
//		2. power is real dBm.					
//		3. // is for comment.					
//							
// 		NA is non-release channle.					
//							
//							
//Table 1: ===========================================							
//							
##	2.4G, 20M, 1T, CCK, //(1M;2M;5.5M;11M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	18	16	16	
CH02	18	16	16	
CH03	18	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	18	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	16	
##	END						
//							
//Table 2: ===========================================							
//							
##	2.4G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	17	16	16	
CH02	18	16	16	
CH03	18	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	16	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 3: ===========================================							
//							
##	2.4G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	17	16	16	
CH02	18	16	16	
CH03	18	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	16	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 4: ===========================================							
//							
##	2.4G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	16	15	15	
CH02	17	15	15	
CH03	17	15	15	
CH04	17	15	15	
CH05	17	15	15	
CH06	17	15	15	
CH07	17	15	15	
CH08	17	15	15	
CH09	17	15	15	
CH10	17	15	15	
CH11	15	15	15	
CH12	NA	15	15	
CH13	NA	15	15	
CH14	NA	NA	NA	
##	END       						
//							
//Table 5: ===========================================							
//							
##	2.4G, 20M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	15	14	14	
CH02	16	14	14	
CH03	16	14	14	
CH04	16	14	14	
CH05	16	14	14	
CH06	16	14	14	
CH07	16	14	14	
CH08	16	14	14	
CH09	16	14	14	
CH10	16	14	14	
CH11	14	14	14	
CH12	NA	14	14	
CH13	NA	14	14	
CH14	NA	NA	NA	
##	END       						
//							
//Table 6: ===========================================							
//							
##	2.4G, 20M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	14	13	13	
CH02	15	13	13	
CH03	15	13	13	
CH04	15	13	13	
CH05	15	13	13	
CH06	15	13	13	
CH07	15	13	13	
CH08	15	13	13	
CH09	15	13	13	
CH10	15	13	13	
CH11	13	13	13	
CH12	NA	13	13	
CH13	NA	13	13	
CH14	NA	NA	NA	
##	END       						
//                							
//Table 7: ===========================================							
//                							
##	2.4G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	16	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	16	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 8: ===========================================							
//							
##	2.4G, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	15	15	15	
CH04	17	15	15	
CH05	17	15	15	
CH06	17	15	15	
CH07	17	15	15	
CH08	17	15	15	
CH09	17	15	15	
CH10	17	15	15	
CH11	15	15	15	
CH12	NA	15	15	
CH13	NA	15	15	
CH14	NA	NA	NA	
##	END						
//							
//Table 9: ===========================================							
//							
##	2.4G, 40M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	14	14	14	
CH04	16	14	14	
CH05	16	14	14	
CH06	16	14	14	
CH07	16	14	14	
CH08	16	14	14	
CH09	16	14	14	
CH10	16	14	14	
CH11	14	14	14	
CH12	NA	14	14	
CH13	NA	14	14	
CH14	NA	NA	NA	
##	END						
//							
//Table 10: ===========================================							
//							
##	2.4G, 40M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	13	13	13	
CH04	15	13	13	
CH05	15	13	13	
CH06	15	13	13	
CH07	15	13	13	
CH08	15	13	13	
CH09	15	13	13	
CH10	15	13	13	
CH11	13	13	13	
CH12	NA	13	13	
CH13	NA	13	13	
CH14	NA	NA	NA	
##	END						
//							
//Table 11: ===========================================							
//							
##	5G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	13.9	12.2	12.2	
CH40	18.9	12.2	12.2	
CH44	18.9	12.2	12.2	
CH48	19.4	12.2	12.2	
//5G Band 2       	  						
CH52	13.9	14.3	14.3	
CH56	13.9	14.3	14.3	
CH60	13.9	14.3	14.3	
CH64	13.9	14.3	14.3	
//5G Band 3           							
CH100	13.9	19.4	19.4	
CH104	13.9	19.4	19.4	
CH108	13.9	19.4	19.4	
CH112	13.9	19.4	19.4	
CH116	13.9	19.4	19.4	
CH120	13.9	19.4	19.4	
CH124	13.9	19.4	19.4	
CH128	13.9	19.4	19.4	
CH132	13.9	19.4	19.4	
CH136	13.9	19.4	19.4	
CH140	13.9	19.4	19.4	
//5G Band 4       	  						
CH149	14.8	14.8	NA	
CH153	14.8	14.8	NA	
CH157	17.4	14.8	NA	
CH161	15.9	14.8	NA	
CH165	15.9	14.8	NA	
##	END						
//							
//Table 12: ======================================							
//							
##	5G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	12.6	12.2	12.2	
CH40	18.7	12.2	12.2	
CH44	18.7	12.2	12.2	
CH48	18.7	12.2	12.2	
//5G Band 2 				  			 
CH52	12.6	14.2	14.2	
CH56	12.6	14.2	14.2	
CH60	12.6	14.2	14.2	
CH64	12.6	14.2	14.2	
//5G Band 3 				  			 
CH100	12.6	19.2	19.2	
CH104	12.6	19.2	19.2	
CH108	12.6	19.2	19.2	
CH112	12.6	19.2	19.2	
CH116	12.6	19.2	19.2	
CH120	12.6	19.2	19.2	
CH124	12.6	19.2	19.2	
CH128	12.6	19.2	19.2	
CH132	12.6	19.2	19.2	
CH136	12.6	19.2	19.2	
CH140	12.6	19.2	19.2	
//5G Band 4 				  			 
CH149	15.5	15.1	NA	
CH153	15.5	15.1	NA	
CH157	15.5	15.1	NA	
CH161	15.5	15.1	NA	
CH165	15.5	15.1	NA	
##	END						
//							
//Table 13: ===========================================							
//							
##	5G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	12.6	12.2	12.2	
CH40	18.7	12.2	12.2	
CH44	18.7	12.2	12.2	
CH48	18.7	12.2	12.2	
//5G Band 2 				  			 
CH52	12.6	14.2	14.2	
CH56	12.6	14.2	14.2	
CH60	12.6	14.2	14.2	
CH64	12.6	14.2	14.2	
//5G Band 3 				  			 
CH100	12.6	19.2	19.2	
CH104	12.6	19.2	19.2	
CH108	12.6	19.2	19.2	
CH112	12.6	19.2	19.2	
CH116	12.6	19.2	19.2	
CH120	12.6	19.2	19.2	
CH124	12.6	19.2	19.2	
CH128	12.6	19.2	19.2	
CH132	12.6	19.2	19.2	
CH136	12.6	19.2	19.2	
CH140	12.6	19.2	19.2	
//5G Band 4 				  			 
CH149	15.5	15.1	NA	
CH153	15.5	15.1	NA	
CH157	15.5	15.1	NA	
CH161	15.5	15.1	NA	
CH165	15.5	15.1	NA	
##	END                  						
//                							
//Table 16: ===========================================							
//                							
##	5G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	14.3	13.7	13.7	
CH46	14.3	13.7	13.7	
//5G Band 2       	  						
CH54	14.3	14.5	14.5	
CH62	14.3	14.5	14.5	
//5G Band 3       							
CH102	14.3	19.5	19.5	
CH110	14.3	19.5	19.5	
CH118	14.3	19.5	19.5	
CH126	14.3	19.5	19.5	
CH134	14.3	19.5	19.5	
//5G Band 4         							
CH151	15.3	15.6	NA	
CH159	15.3	15.6	NA	
##	END       						
//                							
//Table 17: ===========================================							
//							
##	5G, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	14.3	13.7	13.7	
CH46	14.3	13.7	13.7	
//5G Band 2       	  						
CH54	14.3	14.5	14.5	
CH62	14.3	14.5	14.5	
//5G Band 3       							
CH102	14.3	19.5	19.5	
CH110	14.3	19.5	19.5	
CH118	14.3	19.5	19.5	
CH126	14.3	19.5	19.5	
CH134	14.3	19.5	19.5	
//5G Band 4         							
CH151	15.3	15.6	NA	
CH159	15.3	15.6	NA	
##	END   						
//                							
//Table 18: ===========================================							
//							
##	5G, 40M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	22	14	14	
CH46	22	14	14	
//5G Band 2       	  						
CH54	22	14	14	
CH62	22	14	14	
//5G Band 3       	  						
CH102	22	14	14	
CH110	22	14	14	
CH118	22	14	14	
CH126	22	14	14	
CH134	22	14	14	
//5G Band 4       	  						
CH151	22	14	NA	
CH159	22	14	NA	
##	END						
//                							
//Table 19: ===========================================							
//							
##	5G, 40M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	22	13	13	
CH46	22	13	13	
//5G Band 2       	  						
CH54	22	13	13	
CH62	22	13	13	
//5G Band 3       	  						
CH102	22	13	13	
CH110	22	13	13	
CH118	22	13	13	
CH126	22	13	13	
CH134	22	13	13	
//5G Band 4       	  						
CH151	22	13	NA	
CH159	22	13	NA	
##	END						
//                							
//Table 20: ===========================================							
//							
##	5G, 80M, 1T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH42	11.9	13.5	13.5	
//5G Band 2       	  						
CH58	11.9	14.6	14.6	
//5G Band 3       	  						
CH106	11.9	18.3	18.3	
CH122	11.9	18.3	18.3	
//5G Band 4       	  						
CH155	14.4	15.2	NA	
##	END						
//                							
//Table 21: ===========================================							
//							
##	5G, 80M, 2T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH42	11.9	13.5	13.5	
//5G Band 2       	  						
CH58	11.9	14.6	14.6	
//5G Band 3       	  						
CH106	11.9	18.3	18.3	
CH122	11.9	18.3	18.3	
//5G Band 4       	  						
CH155	14.4	15.2	NA	
##	END						
//                							
//Table 22: ===========================================							
//							
##	5G, 80M, 3T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1       							
CH42	22	14	14	
//5G Band 2       	  						
CH58	22	14	14	
//5G Band 3       	  						
CH106	22	14	14	
CH122	22	14	14	
//5G Band 4       	  						
CH155	22	14	NA	
##	END						
//                							
//Table 23: ===========================================							
//							
##	5G, 80M, 4T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1       							
CH42	22	13	13	
//5G Band 2       	  						
CH58	22	13	13	
//5G Band 3       	  						
CH106	22	13	13	
CH122	22	13	13	
//5G Band 4       	  						
CH155	22	13	NA	
##	END						
